coord;barco;hit
a0;True;True
a1;True;False
a2;False;False
a3;False;True
a4;False;False
a5;False;False
a6;False;False
a7;False;False
a8;False;False
a9;False;False
b0;False;False
b1;False;False
b2;False;False
b3;False;True
b4;False;False
b5;False;False
b6;False;False
b7;False;False
b8;False;False
b9;False;False
c0;False;False
c1;False;False
c2;False;False
c3;False;False
c4;False;False
c5;False;False
c6;False;False
c7;False;False
c8;False;False
c9;False;False
d0;False;False
d1;False;False
d2;False;False
d3;False;False
d4;True;False
d5;True;False
d6;True;False
d7;False;False
d8;False;False
d9;False;False
e0;False;False
e1;False;False
e2;False;False
e3;False;False
e4;False;False
e5;False;False
e6;False;False
e7;False;False
e8;False;False
e9;False;False
f0;False;False
f1;False;False
f2;False;False
f3;True;False
f4;True;False
f5;True;False
f6;True;False
f7;True;False
f8;False;False
f9;False;False
g0;False;False
g1;False;False
g2;False;False
g3;False;False
g4;False;False
g5;False;False
g6;False;False
g7;False;False
g8;False;False
g9;False;False
h0;False;False
h1;False;False
h2;False;False
h3;True;False
h4;True;False
h5;True;False
h6;False;False
h7;False;False
h8;False;False
h9;False;False
i0;False;False
i1;False;False
i2;False;False
i3;False;False
i4;False;False
i5;False;False
i6;False;False
i7;False;False
i8;False;False
i9;False;False
j0;False;False
j1;False;False
j2;False;False
j3;False;False
j4;True;False
j5;True;False
j6;True;False
j7;True;False
j8;False;False
j9;False;False
